Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
8,Ian White,ENG,15,6,6,0,55.56%,5,2017
9,Raymond van Barneveld,NED,15,6,9,0,50%,5,2017
10,Michael van Gerwen,NED,42,24,18,0,50%,5,2017
11,Dave Chisnall,ENG,39,18,27,0,46.43%,5,2017
12,Peter Wright,SCO,45,33,27,0,42.86%,5,2017
13,Phil Taylor,ENG,15,12,9,0,41.67%,5,2017
14,Gary Anderson,SCO,42,24,36,0,41.18%,5,2017
15,Martin Schindler,GER,12,12,9,0,36.36%,5,2017
16,Kyle Anderson,AUS,18,18,15,0,35.29%,5,2017
17,Jelle Klaasen,NED,33,27,39,0,33.33%,5,2017
18,James Wade,ENG,15,6,24,0,33.33%,5,2017
19,Justin Pipe,ENG,9,3,15,0,33.33%,5,2017
20,Simon Whitlock,AUS,15,15,15,0,33.33%,5,2017
21,Chris Quantock,ENG,9,9,12,0,30%,5,2017
22,Gerwyn Price,WAL,24,30,27,0,29.63%,5,2017
23,Ronny Huybrechts,BEL,6,6,6,3,28.57%,5,2017
24,Rob Cross,ENG,21,21,33,0,28%,5,2017
25,Robert Thornton,SCO,9,9,15,0,27.27%,5,2017
26,Alan Norris,ENG,21,30,27,0,26.92%,5,2017
27,Michael Smith,ENG,18,24,24,3,26.09%,5,2017
28,Steve Beaton,ENG,9,3,24,0,25%,5,2017
29,Joe Cullen,ENG,9,15,15,0,23.08%,5,2017
30,Jonny Clayton,WAL,6,12,15,0,18.18%,5,2017
31,John Henderson,SCO,6,12,18,0,16.67%,5,2017
32,Dimitri Van den Bergh,BEL,9,15,42,0,13.64%,5,2017
33,Benito van de Pas,NED,6,9,33,0,12.5%,5,2017
34,Daryl Gurney,NIR,9,27,33,3,12.5%,5,2017
35,Cameron Menzies,SCO,3,3,18,3,11.11%,5,2017
36,Robert Allenstein,GER,0,9,18,0,0%,5,2017
1,Raymond van Barneveld,NED,21,0,6,0,77.78%,6,2017
2,Daryl Gurney,NIR,42,3,21,0,63.64%,6,2017
3,Rob Cross,ENG,39,15,12,0,59.09%,6,2017
4,Ian White,ENG,15,6,6,0,55.56%,6,2017
5,John Henderson,SCO,21,9,9,3,50%,6,2017
6,Alan Norris,ENG,12,3,12,0,44.44%,6,2017
7,Gary Anderson,SCO,18,9,15,0,42.86%,6,2017
8,Michael van Gerwen,NED,33,21,24,0,42.31%,6,2017
9,Dimitri Van den Bergh,BEL,12,6,12,0,40%,6,2017
10,Phil Taylor,ENG,18,12,15,0,40%,6,2017
11,Adrian Lewis,ENG,15,3,24,0,35.71%,6,2017
12,James Wade,ENG,9,6,12,0,33.33%,6,2017
13,Michael Smith,ENG,12,24,6,0,28.57%,6,2017
14,Mervyn King,ENG,15,6,33,0,27.78%,6,2017
15,Peter Wright,SCO,12,18,18,0,25%,6,2017
16,Simon Whitlock,AUS,12,12,30,0,22.22%,6,2017
17,Mensur Suljović,AUT,6,18,6,0,20%,6,2017
18,James Richardson,ENG,3,3,15,0,14.29%,6,2017
19,Jeffrey de Zwaan,NED,3,3,15,0,14.29%,6,2017
20,Steve West,ENG,3,9,9,0,14.29%,6,2017
21,Mark Webster,WAL,3,0,24,0,11.11%,6,2017
22,Paul Lim,SNG,0,6,21,0,0%,6,2017
1,Mensur Suljović,AUT,27,3,18,0,56.25%,7,2017
2,Michael van Gerwen,NED,21,6,18,0,46.67%,7,2017
3,Michael Smith,ENG,9,3,6,3,42.86%,7,2017
4,Raymond van Barneveld,NED,9,3,12,0,37.5%,7,2017
5,Daryl Gurney,NIR,6,9,12,0,22.22%,7,2017
6,Gary Anderson,SCO,6,12,9,0,22.22%,7,2017
7,Dimitri Van den Bergh,BEL,3,0,18,0,14.29%,7,2017
1,Martin Schindler,GER,24,3,0,0,88.89%,8,2017
2,Jamie Caven,ENG,18,0,9,0,66.67%,8,2017
3,Robbie Green,ENG,18,3,6,0,66.67%,8,2017
4,Zoran Lerchbacher,AUT,30,6,15,0,58.82%,8,2017
5,Scott Mitchell,ENG,12,6,3,0,57.14%,8,2017
6,Paul Lim,SNG,12,3,6,0,57.14%,8,2017
7,Jan Dekker,NED,30,12,12,0,55.56%,8,2017
8,Dimitri Van den Bergh,BEL,42,9,27,0,53.85%,8,2017
9,Peter Jacques,ENG,36,12,21,0,52.17%,8,2017
10,Jamie Lewis,WAL,42,9,30,0,51.85%,8,2017
11,Kim Huybrechts,BEL,60,21,36,0,51.28%,8,2017
12,Daryl Gurney,NIR,171,51,114,0,50.89%,8,2017
13,Jermaine Wattimena,NED,21,6,15,0,50%,8,2017
14,Alan Norris,ENG,27,9,18,0,50%,8,2017
15,James Wilson,ENG,33,6,27,0,50%,8,2017
16,Glen Durrant,ENG,15,6,9,0,50%,8,2017
17,Jonny Clayton,WAL,48,15,33,0,50%,8,2017
18,Steve West,ENG,15,6,9,0,50%,8,2017
19,Seigo Asada,JPN,12,0,12,0,50%,8,2017
20,Mensur Suljović,AUT,72,18,57,0,48.98%,8,2017
21,Phil Taylor,ENG,75,30,51,0,48.08%,8,2017
22,Michael van Gerwen,NED,246,102,177,0,46.86%,8,2017
23,Dave Chisnall,ENG,51,42,21,0,44.74%,8,2017
24,John Henderson,SCO,12,6,9,0,44.44%,8,2017
25,Raymond van Barneveld,NED,57,39,30,3,44.19%,8,2017
26,Cristo Reyes,ESP,42,21,33,0,43.75%,8,2017
27,Gary Anderson,SCO,51,36,27,3,43.59%,8,2017
28,Simon Whitlock,AUS,69,60,30,0,43.4%,8,2017
29,Mike De Decker,BEL,9,3,9,0,42.86%,8,2017
30,William O'Connor,IRL,18,3,21,0,42.86%,8,2017
31,Corey Cadby,AUS,9,6,6,0,42.86%,8,2017
32,Joe Cullen,ENG,60,39,42,0,42.55%,8,2017
33,Vincent van der Voort,NED,33,36,9,0,42.31%,8,2017
34,Rob Cross,ENG,123,99,72,3,41.41%,8,2017
35,Mervyn King,ENG,63,45,45,0,41.18%,8,2017
36,Toni Alcinas,ESP,27,12,27,0,40.91%,8,2017
37,Benito van de Pas,NED,33,12,33,3,40.74%,8,2017
38,Peter Wright,SCO,105,69,81,3,40.7%,8,2017
39,Kyle Anderson,AUS,30,21,24,0,40%,8,2017
40,James Richardson,ENG,21,21,15,0,36.84%,8,2017
41,Ronny Huybrechts,BEL,24,15,27,0,36.36%,8,2017
42,Nathan Aspinall,ENG,12,15,6,0,36.36%,8,2017
43,Stephen Bunting,ENG,48,36,51,0,35.56%,8,2017
44,Adrian Lewis,ENG,18,18,15,0,35.29%,8,2017
45,Justin Pipe,ENG,39,39,33,0,35.14%,8,2017
46,Steve Beaton,ENG,30,24,30,3,34.48%,8,2017
47,Ian White,ENG,21,24,21,0,31.82%,8,2017
48,Kim Viljanen,FIN,15,3,30,0,31.25%,8,2017
49,Chris Dobey,ENG,27,21,39,0,31.03%,8,2017
50,Krzysztof Ratajski,POL,21,15,27,6,30.43%,8,2017
51,Max Hopp,GER,18,12,33,0,28.57%,8,2017
52,Michael Smith,ENG,21,18,30,6,28%,8,2017
53,Gerwyn Price,WAL,9,15,6,3,27.27%,8,2017
54,Christian Kist,NED,9,9,15,0,27.27%,8,2017
55,Jelle Klaasen,NED,18,18,33,0,26.09%,8,2017
56,Richard North,ENG,9,15,12,0,25%,8,2017
57,Vincent van der Meer,NED,6,9,9,0,25%,8,2017
58,Steve Lennon,IRL,6,9,9,0,25%,8,2017
59,Michael Plooy,NED,6,0,18,0,25%,8,2017
60,Darren Webster,ENG,30,39,60,0,23.26%,8,2017
61,Devon Petersen,RSA,9,12,18,0,23.08%,8,2017
62,Jeffrey de Zwaan,NED,6,6,15,0,22.22%,8,2017
63,Rowby-John Rodriguez,AUT,6,3,15,3,22.22%,8,2017
64,Keegan Brown,ENG,15,15,39,0,21.74%,8,2017
65,Robert Thornton,SCO,6,12,12,0,20%,8,2017
66,Dennis Nilsson,SWE,3,6,9,3,14.29%,8,2017
1,Raymond van Barneveld,NED,21,6,3,0,70%,9,2017
2,Michael van Gerwen,NED,33,9,15,0,57.89%,9,2017
3,Kim Huybrechts,BEL,12,6,3,0,57.14%,9,2017
4,Mensur Suljović,AUT,36,12,18,0,54.55%,9,2017
5,Simon Whitlock,AUS,33,6,24,0,52.38%,9,2017
6,Daryl Gurney,NIR,24,3,24,0,47.06%,9,2017
7,Christian Kist,NED,12,3,12,0,44.44%,9,2017
8,Steve West,ENG,9,0,15,0,37.5%,9,2017
9,Rob Cross,ENG,27,21,45,0,29.03%,9,2017
10,Dimitri Van den Bergh,BEL,12,9,21,0,28.57%,9,2017
11,Adrian Lewis,ENG,6,6,9,0,28.57%,9,2017
12,Justin Pipe,ENG,6,3,12,0,28.57%,9,2017
13,Michael Smith,ENG,9,12,12,0,27.27%,9,2017
14,Peter Wright,SCO,15,15,30,0,25%,9,2017
15,Steve Beaton,ENG,6,3,12,3,25%,9,2017
16,Gary Anderson,SCO,6,15,15,0,16.67%,9,2017
1,Christian Kist,NED,24,6,9,0,61.54%,10,2017
2,Steve Lennon,IRL,33,9,12,0,61.11%,10,2017
3,Jamie Lewis,WAL,18,9,3,0,60%,10,2017
4,Stephen Bunting,ENG,36,12,12,3,57.14%,10,2017
5,Jeffrey de Zwaan,NED,12,3,6,0,57.14%,10,2017
6,Jan Dekker,NED,12,9,0,0,57.14%,10,2017
7,Mickey Mansell,NIR,12,3,6,0,57.14%,10,2017
8,Rowby-John Rodriguez,AUT,15,6,3,3,55.56%,10,2017
9,Toni Alcinas,ESP,15,9,3,0,55.56%,10,2017
10,Steve West,ENG,60,18,33,3,52.63%,10,2017
11,Michael Smith,ENG,150,57,84,6,50.51%,10,2017
12,Martin Schindler,GER,39,24,15,3,48.15%,10,2017
13,Ron Meulenkamp,NED,33,6,30,0,47.83%,10,2017
14,James Wilson,ENG,24,9,18,0,47.06%,10,2017
15,Adrian Lewis,ENG,42,12,36,0,46.67%,10,2017
16,Mensur Suljović,AUT,126,60,84,3,46.15%,10,2017
17,Simon Whitlock,AUS,111,24,111,0,45.12%,10,2017
18,Justin Pipe,ENG,12,9,3,3,44.44%,10,2017
19,Devon Petersen,RSA,12,12,3,0,44.44%,10,2017
20,Chris Dobey,ENG,21,6,21,0,43.75%,10,2017
21,Raymond van Barneveld,NED,42,24,30,0,43.75%,10,2017
22,Jonny Clayton,WAL,30,27,12,0,43.48%,10,2017
23,Daryl Gurney,NIR,90,39,72,6,43.48%,10,2017
24,Phil Taylor,ENG,39,30,24,0,41.94%,10,2017
25,Krzysztof Ratajski,POL,15,9,12,0,41.67%,10,2017
26,Cristo Reyes,ESP,21,24,6,0,41.18%,10,2017
27,Kyle Anderson,AUS,42,33,24,3,41.18%,10,2017
28,Rob Cross,ENG,72,45,60,0,40.68%,10,2017
29,James Wade,ENG,72,27,78,3,40%,10,2017
30,Paul Lim,SNG,12,6,12,0,40%,10,2017
31,John Henderson,SCO,51,24,51,3,39.53%,10,2017
32,Alan Norris,ENG,87,63,66,12,38.16%,10,2017
33,Ian White,ENG,33,24,27,3,37.93%,10,2017
34,Mike De Decker,BEL,9,6,6,3,37.5%,10,2017
35,Peter Wright,SCO,96,87,78,0,36.78%,10,2017
36,James Richardson,ENG,24,12,30,0,36.36%,10,2017
37,Steve Beaton,ENG,36,24,36,3,36.36%,10,2017
38,Zoran Lerchbacher,AUT,15,9,15,3,35.71%,10,2017
39,Nathan Aspinall,ENG,15,15,12,0,35.71%,10,2017
40,Gerwyn Price,WAL,96,66,102,6,35.56%,10,2017
41,Vincent van der Voort,NED,27,24,27,0,34.62%,10,2017
42,Benito van de Pas,NED,30,24,33,0,34.48%,10,2017
43,Dave Chisnall,ENG,48,54,39,0,34.04%,10,2017
44,Jermaine Wattimena,NED,15,21,9,0,33.33%,10,2017
45,Peter Hudson,ENG,9,12,6,0,33.33%,10,2017
46,Keegan Brown,ENG,12,6,18,0,33.33%,10,2017
47,Michael van Gerwen,NED,96,63,132,3,32.65%,10,2017
48,Joe Cullen,ENG,33,36,33,0,32.35%,10,2017
49,Darren Webster,ENG,51,54,66,6,28.81%,10,2017
50,Gary Anderson,SCO,69,60,108,3,28.75%,10,2017
51,Richard North,ENG,12,12,18,0,28.57%,10,2017
52,John Michael,GRE,12,18,12,0,28.57%,10,2017
53,Mark Webster,WAL,27,18,51,0,28.13%,10,2017
54,Ronny Huybrechts,BEL,21,18,33,3,28%,10,2017
55,Jamie Bain,SCO,9,12,12,0,27.27%,10,2017
56,Jelle Klaasen,NED,45,72,45,3,27.27%,10,2017
57,Chris Quantock,ENG,12,21,12,0,26.67%,10,2017
58,Dimitri Van den Bergh,BEL,15,24,18,0,26.32%,10,2017
59,Mervyn King,ENG,21,15,45,0,25.93%,10,2017
60,Mark Walsh,ENG,6,0,18,0,25%,10,2017
61,Robert Thornton,SCO,15,24,21,3,23.81%,10,2017
62,Kim Huybrechts,BEL,15,15,36,6,20.83%,10,2017
63,Peter Jacques,ENG,12,12,36,0,20%,10,2017
64,William O'Connor,IRL,6,15,12,0,18.18%,10,2017
1,Jamie Lewis,WAL,6,0,12,3,28.57%,11,2017
1,Vincent van der Voort,NED,15,6,0,0,71.43%,12,2017
2,Gerwyn Price,WAL,39,15,6,0,65%,12,2017
3,Darren Webster,ENG,21,9,6,0,58.33%,12,2017
4,Dave Chisnall,ENG,21,9,6,0,58.33%,12,2017
5,Nathan Aspinall,ENG,15,6,6,0,55.56%,12,2017
6,Michael van Gerwen,NED,87,39,36,0,53.7%,12,2017
7,James Wade,ENG,24,21,0,0,53.33%,12,2017
8,Peter Wright,SCO,78,24,54,0,50%,12,2017
9,Steve Beaton,ENG,18,3,15,0,50%,12,2017
10,Martin Schindler,GER,12,3,9,0,50%,12,2017
11,Ronny Huybrechts,BEL,12,6,6,0,50%,12,2017
12,Stephen Bunting,ENG,24,12,12,0,50%,12,2017
13,Gary Anderson,SCO,60,33,36,0,46.51%,12,2017
14,Phil Taylor,ENG,27,12,21,0,45%,12,2017
15,Raymond van Barneveld,NED,24,15,15,0,44.44%,12,2017
16,Kim Huybrechts,BEL,9,6,6,0,42.86%,12,2017
17,Rob Cross,ENG,21,18,12,0,41.18%,12,2017
18,Jermaine Wattimena,NED,12,6,12,0,40%,12,2017
19,Chris Dobey,ENG,12,3,12,3,40%,12,2017
20,Robert Thornton,SCO,18,12,15,0,40%,12,2017
21,Adrian Lewis,ENG,27,24,18,0,39.13%,12,2017
22,Daryl Gurney,NIR,39,30,33,0,38.24%,12,2017
23,Mervyn King,ENG,21,21,15,3,35%,12,2017
24,James Richardson,ENG,12,9,15,0,33.33%,12,2017
25,Steve West,ENG,24,12,36,0,33.33%,12,2017
26,Michael Smith,ENG,27,27,30,0,32.14%,12,2017
27,Kyle Anderson,AUS,15,12,21,0,31.25%,12,2017
28,Mensur Suljović,AUT,12,15,12,0,30.77%,12,2017
29,John Henderson,SCO,45,42,63,0,30%,12,2017
30,Kirk Shepherd,ENG,6,3,12,0,28.57%,12,2017
31,Alan Norris,ENG,12,12,18,0,28.57%,12,2017
32,Krzysztof Ratajski,POL,12,9,21,0,28.57%,12,2017
33,Simon Whitlock,AUS,6,12,6,3,22.22%,12,2017
34,Jamie Lewis,WAL,6,12,9,0,22.22%,12,2017
35,Robert Owen,WAL,3,9,9,0,14.29%,12,2017
36,Dimitri Van den Bergh,BEL,3,18,3,0,12.5%,12,2017
37,Andy Boulton,SCO,3,9,15,0,11.11%,12,2017
38,Jonny Clayton,WAL,6,12,36,0,11.11%,12,2017
39,Justin Pipe,ENG,3,12,15,0,10%,12,2017
40,Ian White,ENG,3,24,30,0,5.26%,12,2017
1,Daryl Gurney,NIR,24,6,6,0,66.67%,14,2017
2,Michael van Gerwen,NED,42,9,15,0,63.64%,14,2017
3,Peter Wright,SCO,12,6,3,0,57.14%,14,2017
4,Justin Pipe,ENG,15,3,12,0,50%,14,2017
5,Rob Cross,ENG,30,12,18,0,50%,14,2017
6,Mensur Suljović,AUT,114,36,96,6,45.24%,14,2017
7,Gary Anderson,SCO,9,9,3,0,42.86%,14,2017
8,Michael Smith,ENG,9,9,3,0,42.86%,14,2017
9,Joe Cullen,ENG,9,6,9,0,37.5%,14,2017
10,Raymond van Barneveld,NED,9,9,12,0,30%,14,2017
11,Dave Chisnall,ENG,6,6,9,0,28.57%,14,2017
12,Krzysztof Ratajski,POL,3,3,15,0,14.29%,14,2017
13,Peter Jacques,ENG,3,12,9,0,12.5%,14,2017
1,Justin Pipe,ENG,9,3,9,0,42.86%,15,2017
2,Michael Smith,ENG,18,9,27,3,31.58%,15,2017
3,Kyle Anderson,AUS,6,3,12,0,28.57%,15,2017
4,Jelle Klaasen,NED,6,3,15,0,25%,15,2017
1,Jermaine Wattimena,NED,60,21,18,0,60.61%,16,2017
2,Marko Kantele,FIN,12,6,3,0,57.14%,16,2017
3,Tony Martinez,ESP,12,0,9,0,57.14%,16,2017
4,Jimmy Hendriks,NED,15,6,6,0,55.56%,16,2017
5,John Henderson,SCO,15,6,6,0,55.56%,16,2017
6,Robbie Green,ENG,15,6,6,0,55.56%,16,2017
7,Darren Webster,ENG,30,15,6,3,55.56%,16,2017
8,Robert Owen,WAL,18,6,9,0,54.55%,16,2017
9,Nathan Aspinall,ENG,18,6,9,0,54.55%,16,2017
10,Phil Taylor,ENG,234,60,150,9,51.66%,16,2017
11,Simon Whitlock,AUS,102,69,36,0,49.28%,16,2017
12,Steve Beaton,ENG,84,30,57,3,48.28%,16,2017
13,Brendan Dolan,NIR,33,9,27,0,47.83%,16,2017
14,Ian White,ENG,57,39,24,0,47.5%,16,2017
15,Stephen Bunting,ENG,81,39,51,0,47.37%,16,2017
16,Benito van de Pas,NED,78,30,57,0,47.27%,16,2017
17,Jan Dekker,NED,99,33,75,3,47.14%,16,2017
18,Kim Huybrechts,BEL,69,39,39,0,46.94%,16,2017
19,Michael Smith,ENG,21,9,15,0,46.67%,16,2017
20,Keegan Brown,ENG,39,18,24,3,46.43%,16,2017
21,Ronny Huybrechts,BEL,36,24,18,0,46.15%,16,2017
22,Andy Boulton,SCO,18,6,12,3,46.15%,16,2017
23,Mensur Suljović,AUT,114,54,78,3,45.78%,16,2017
24,Krzysztof Ratajski,POL,57,30,39,0,45.24%,16,2017
25,Peter Wright,SCO,162,90,105,3,45%,16,2017
26,Jonny Clayton,WAL,54,36,30,0,45%,16,2017
27,Kyle Anderson,AUS,42,18,36,0,43.75%,16,2017
28,Michael van Gerwen,NED,294,162,216,0,43.75%,16,2017
29,Rob Cross,ENG,243,153,162,3,43.32%,16,2017
30,Andy Jenkins,ENG,9,0,12,0,42.86%,16,2017
31,Dennis Nilsson,SWE,9,3,9,0,42.86%,16,2017
32,Kim Viljanen,FIN,18,12,12,0,42.86%,16,2017
33,Mervyn King,ENG,78,51,54,0,42.62%,16,2017
34,Dimitri Van den Bergh,BEL,69,18,75,0,42.59%,16,2017
35,Jamie Lewis,WAL,108,15,132,0,42.35%,16,2017
36,Andy Hamilton,ENG,15,12,6,3,41.67%,16,2017
37,Steve Lennon,IRL,15,6,15,0,41.67%,16,2017
38,Zoran Lerchbacher,AUT,15,9,12,0,41.67%,16,2017
39,Daryl Gurney,NIR,225,108,219,6,40.32%,16,2017
40,James Wilson,ENG,42,21,42,0,40%,16,2017
41,Jamie Caven,ENG,21,15,18,0,38.89%,16,2017
42,Dave Chisnall,ENG,45,30,39,3,38.46%,16,2017
43,Cristo Reyes,ESP,66,42,66,0,37.93%,16,2017
44,Joe Cullen,ENG,87,51,93,0,37.66%,16,2017
45,Mike De Decker,BEL,18,9,18,3,37.5%,16,2017
46,Glen Durrant,ENG,24,18,21,3,36.36%,16,2017
47,Vincent van der Voort,NED,39,39,30,0,36.11%,16,2017
48,Justin Pipe,ENG,87,45,108,6,35.37%,16,2017
49,Jeffrey de Zwaan,NED,18,9,24,0,35.29%,16,2017
50,James Richardson,ENG,21,15,24,0,35%,16,2017
51,Christian Kist,NED,21,12,30,0,33.33%,16,2017
52,Steve West,ENG,9,6,9,3,33.33%,16,2017
53,Raymond van Barneveld,NED,84,60,111,3,32.56%,16,2017
54,Chris Dobey,ENG,36,42,33,3,31.58%,16,2017
55,William O'Connor,IRL,24,15,39,0,30.77%,16,2017
56,Alan Norris,ENG,18,12,30,0,30%,16,2017
57,Jamie Bain,SCO,9,12,9,0,30%,16,2017
58,Gary Anderson,SCO,21,24,27,0,29.17%,16,2017
59,Rusty-Jake Rodriguez,AUT,6,6,9,0,28.57%,16,2017
60,Devon Petersen,RSA,18,12,39,0,26.09%,16,2017
61,Seigo Asada,JPN,6,12,6,0,25%,16,2017
62,Jamie Hughes,ENG,6,3,15,0,25%,16,2017
63,Peter Jacques,ENG,18,24,39,3,21.43%,16,2017
64,Richard North,ENG,9,15,18,0,21.43%,16,2017
65,Chris Quantock,ENG,6,6,18,0,20%,16,2017
66,Toni Alcinas,ESP,6,18,6,0,20%,16,2017
67,Max Hopp,GER,9,18,18,3,18.75%,16,2017
68,Rowby-John Rodriguez,AUT,9,9,30,0,18.75%,16,2017
69,Mark Webster,WAL,6,6,21,0,18.18%,16,2017
70,Martin Schindler,GER,21,21,72,3,17.95%,16,2017
71,Adrian Lewis,ENG,9,18,24,3,16.67%,16,2017
72,Aden Kirk,ENG,3,6,12,0,14.29%,16,2017
73,Gerwyn Price,WAL,6,12,24,0,14.29%,16,2017
74,Corey Cadby,AUS,3,9,12,0,12.5%,16,2017
1,Jamie Lewis,WAL,18,6,0,0,75%,18,2017
2,Adrian Lewis,ENG,27,9,3,0,69.23%,18,2017
3,Alan Norris,ENG,15,3,6,0,62.5%,18,2017
