Rank,Player,Country,Stat,Stat Category,Year
21,Terry Jenkins,ENG,47.98%,Pcnt Legs Won,2016
22,Ian White,ENG,47.76%,Pcnt Legs Won,2016
23,Michael Smith,ENG,47.15%,Pcnt Legs Won,2016
24,Kyle Anderson,AUS,47.13%,Pcnt Legs Won,2016
25,Simon Whitlock,AUS,46.39%,Pcnt Legs Won,2016
26,Brendan Dolan,NIR,42.57%,Pcnt Legs Won,2016
27,Robert Thornton,SCO,39.19%,Pcnt Legs Won,2016
1,Michael van Gerwen,NED,64.55%,Pcnt Legs Won,2017
2,Peter Wright,SCO,57.45%,Pcnt Legs Won,2017
3,Phil Taylor,ENG,57.2%,Pcnt Legs Won,2017
4,Gary Anderson,SCO,56.11%,Pcnt Legs Won,2017
5,Rob Cross,ENG,55.64%,Pcnt Legs Won,2017
6,Daryl Gurney,NIR,55.14%,Pcnt Legs Won,2017
7,Mensur Suljović,AUT,54.77%,Pcnt Legs Won,2017
8,Jamie Lewis,WAL,53.54%,Pcnt Legs Won,2017
9,Joe Cullen,ENG,52.44%,Pcnt Legs Won,2017
10,Raymond van Barneveld,NED,52.17%,Pcnt Legs Won,2017
11,Michael Smith,ENG,51.4%,Pcnt Legs Won,2017
12,Simon Whitlock,AUS,51.3%,Pcnt Legs Won,2017
13,Kyle Anderson,AUS,51.15%,Pcnt Legs Won,2017
14,Dimitri Van den Bergh,BEL,50.92%,Pcnt Legs Won,2017
15,Jan Dekker,NED,50.64%,Pcnt Legs Won,2017
16,Vincent van der Voort,NED,50.62%,Pcnt Legs Won,2017
17,Jonny Clayton,WAL,50.46%,Pcnt Legs Won,2017
18,Dave Chisnall,ENG,50.45%,Pcnt Legs Won,2017
19,Darren Webster,ENG,50.31%,Pcnt Legs Won,2017
20,James Wade,ENG,49.63%,Pcnt Legs Won,2017
21,Steve West,ENG,49.31%,Pcnt Legs Won,2017
22,Jelle Klaasen,NED,49.17%,Pcnt Legs Won,2017
23,Benito van de Pas,NED,49.13%,Pcnt Legs Won,2017
24,Gerwyn Price,WAL,48.94%,Pcnt Legs Won,2017
25,Krzysztof Ratajski,POL,48.83%,Pcnt Legs Won,2017
26,Adrian Lewis,ENG,48.81%,Pcnt Legs Won,2017
27,James Richardson,ENG,48.77%,Pcnt Legs Won,2017
28,John Henderson,SCO,48.73%,Pcnt Legs Won,2017
29,Kim Huybrechts,BEL,48.59%,Pcnt Legs Won,2017
30,Ian White,ENG,48.43%,Pcnt Legs Won,2017
31,Steve Beaton,ENG,48.36%,Pcnt Legs Won,2017
32,Mervyn King,ENG,48.02%,Pcnt Legs Won,2017
33,Chris Dobey,ENG,47.81%,Pcnt Legs Won,2017
34,Cristo Reyes,ESP,47.74%,Pcnt Legs Won,2017
35,Alan Norris,ENG,47.44%,Pcnt Legs Won,2017
36,Ronny Huybrechts,BEL,47.37%,Pcnt Legs Won,2017
37,Robert Thornton,SCO,47.34%,Pcnt Legs Won,2017
38,Mark Webster,WAL,47.08%,Pcnt Legs Won,2017
39,Stephen Bunting,ENG,46.82%,Pcnt Legs Won,2017
40,James Wilson,ENG,46.61%,Pcnt Legs Won,2017
41,Justin Pipe,ENG,45.26%,Pcnt Legs Won,2017
42,Martin Schindler,GER,42.51%,Pcnt Legs Won,2017
43,Christian Kist,NED,38.95%,Pcnt Legs Won,2017
1,Darin Young,USA,65.63%,Pcnt Legs Won,2018
2,Michael van Gerwen,NED,64.72%,Pcnt Legs Won,2018
3,Chuck Puleo,USA,63.61%,Pcnt Legs Won,2018
4,Gary Mawson,USA,62.87%,Pcnt Legs Won,2018
5,Geert Nentjes,NED,62.52%,Pcnt Legs Won,2018
6,Bradley Kirk,ENG,61.76%,Pcnt Legs Won,2018
7,Corey Cadby,AUS,61.68%,Pcnt Legs Won,2018
8,DJ Sayre,USA,61.65%,Pcnt Legs Won,2018
9,David Fatum,USA,61.37%,Pcnt Legs Won,2018
10,Tim Nicoll,USA,61.06%,Pcnt Legs Won,2018
11,William Borland,SCO,60.95%,Pcnt Legs Won,2018
12,Jim Long,CAN,59.77%,Pcnt Legs Won,2018
13,Niels Zonneveld,NED,59.74%,Pcnt Legs Won,2018
14,Nick Linberg,USA,59.46%,Pcnt Legs Won,2018
15,Danny van Trijp,NED,59.19%,Pcnt Legs Won,2018
16,Christian Bunse,GER,59.04%,Pcnt Legs Won,2018
17,Gary Anderson,SCO,59%,Pcnt Legs Won,2018
18,Jamie Hughes,ENG,58.86%,Pcnt Legs Won,2018
19,Kenny Neyens,BEL,58.82%,Pcnt Legs Won,2018
20,Shane McGuirk,IRL,58.61%,Pcnt Legs Won,2018
21,Scott Dale,ENG,58.45%,Pcnt Legs Won,2018
22,Michael Smith,ENG,58.39%,Pcnt Legs Won,2018
23,Chris White,USA,58.33%,Pcnt Legs Won,2018
24,Matt Clark,ENG,58.3%,Pcnt Legs Won,2018
25,Cody Harris,NZL,58.29%,Pcnt Legs Won,2018
26,Tommy Wilson (Young),ENG,58.23%,Pcnt Legs Won,2018
27,Rob Hewson,ENG,58.18%,Pcnt Legs Won,2018
28,Daniel Lauby Jr.,USA,58.15%,Pcnt Legs Won,2018
29,Michael Barnard,ENG,58.05%,Pcnt Legs Won,2018
30,Mark Baxter,,58.02%,Pcnt Legs Won,2018
31,Krzysztof Ratajski,POL,57.94%,Pcnt Legs Won,2018
32,Adrian Lewis,ENG,57.92%,Pcnt Legs Won,2018
33,Kevin Doets,NED,57.89%,Pcnt Legs Won,2018
34,Nathan Rafferty,NIR,57.85%,Pcnt Legs Won,2018
35,Andy Boulton,SCO,57.66%,Pcnt Legs Won,2018
36,Ross Snook,CAN,57.61%,Pcnt Legs Won,2018
37,Matthew Dennant,ENG,57.39%,Pcnt Legs Won,2018
38,Wessel Nijman,NED,57.25%,Pcnt Legs Won,2018
39,Jason Lowe,ENG,57.12%,Pcnt Legs Won,2018
40,Cameron Menzies,SCO,57.01%,Pcnt Legs Won,2018
41,Richie Corner,ENG,56.91%,Pcnt Legs Won,2018
42,Mike De Decker,BEL,56.9%,Pcnt Legs Won,2018
43,Rhys Hayden,ENG,56.71%,Pcnt Legs Won,2018
44,Kevin Garcia,ENG,56.6%,Pcnt Legs Won,2018
45,Ted Evetts,ENG,56.59%,Pcnt Legs Won,2018
46,Mick Todd,ENG,56.58%,Pcnt Legs Won,2018
47,Tom Lonsdale,ENG,56.54%,Pcnt Legs Won,2018
48,Ian White,ENG,56.43%,Pcnt Legs Won,2018
49,Joe Davis,ENG,56.36%,Pcnt Legs Won,2018
50,Patrick Lynskey,ENG,56.31%,Pcnt Legs Won,2018
101,Yordi Meeuwisse,NED,53.68%,Pcnt Legs Won,2018
102,Mervyn King,ENG,53.66%,Pcnt Legs Won,2018
103,Sebastian Pohl,GER,53.59%,Pcnt Legs Won,2018
104,Kyle Anderson,AUS,53.55%,Pcnt Legs Won,2018
105,Steve Lennon,IRL,53.49%,Pcnt Legs Won,2018
106,Jarred Cole,ENG,53.49%,Pcnt Legs Won,2018
107,Nathan Aspinall,ENG,53.31%,Pcnt Legs Won,2018
108,Rusty-Jake Rodriguez,AUT,53.21%,Pcnt Legs Won,2018
109,Simon Stevenson,ENG,53.16%,Pcnt Legs Won,2018
110,Ron Meulenkamp,NED,53.11%,Pcnt Legs Won,2018
111,John Henderson,SCO,53.07%,Pcnt Legs Won,2018
112,Steven Ferguson,ENG,53%,Pcnt Legs Won,2018
113,Scott Jackson,ENG,53%,Pcnt Legs Won,2018
114,Gerwyn Price,WAL,52.93%,Pcnt Legs Won,2018
115,Andy Jenkins,ENG,52.91%,Pcnt Legs Won,2018
116,Paul Nicholson,ENG,52.87%,Pcnt Legs Won,2018
117,Michael Rasztovits,AUT,52.87%,Pcnt Legs Won,2018
118,Nico Blum,GER,52.86%,Pcnt Legs Won,2018
119,Jordan Boyce,NIR,52.81%,Pcnt Legs Won,2018
120,Richard North,ENG,52.8%,Pcnt Legs Won,2018
121,Justin Smith,WAL,52.74%,Pcnt Legs Won,2018
122,Barry Lynn,ENG,52.74%,Pcnt Legs Won,2018
123,Carl Wilkinson,ENG,52.66%,Pcnt Legs Won,2018
124,Thomas Lovely,ENG,52.6%,Pcnt Legs Won,2018
125,Dave Prins,ENG,52.56%,Pcnt Legs Won,2018
126,Dave Chisnall,ENG,52.55%,Pcnt Legs Won,2018
127,Joe Cullen,ENG,52.48%,Pcnt Legs Won,2018
128,Wilco Vermeulen,NED,52.48%,Pcnt Legs Won,2018
129,Jimmy Hendriks,NED,52.44%,Pcnt Legs Won,2018
130,Jonathan Worsley,WAL,52.3%,Pcnt Legs Won,2018
131,Chris Dobey,ENG,52.28%,Pcnt Legs Won,2018
132,Mark Walsh,ENG,52.22%,Pcnt Legs Won,2018
133,Jason Wilson,ENG,52.17%,Pcnt Legs Won,2018
134,Matthew Edgar,ENG,52.16%,Pcnt Legs Won,2018
135,Harry Ward,ENG,52.15%,Pcnt Legs Won,2018
136,Richie Burnett,WAL,52.01%,Pcnt Legs Won,2018
137,Callum Loose,ENG,51.98%,Pcnt Legs Won,2018
138,František Humpula,,51.96%,Pcnt Legs Won,2018
139,William O'Connor,IRL,51.96%,Pcnt Legs Won,2018
140,Wayne Jones,ENG,51.96%,Pcnt Legs Won,2018
141,Jeff Smith,CAN,51.93%,Pcnt Legs Won,2018
142,Max Hopp,GER,51.92%,Pcnt Legs Won,2018
143,Fred Box,ENG,51.92%,Pcnt Legs Won,2018
144,Anthony Brown,ENG,51.91%,Pcnt Legs Won,2018
145,Jan Dekker,NED,51.81%,Pcnt Legs Won,2018
146,Stephen Rosney,IRL,51.74%,Pcnt Legs Won,2018
147,Robert Thornton,SCO,51.7%,Pcnt Legs Won,2018
148,Ryan Meikle,ENG,51.67%,Pcnt Legs Won,2018
149,Adam Huckvale,ENG,51.64%,Pcnt Legs Won,2018
150,Marko Kantele,FIN,51.64%,Pcnt Legs Won,2018
151,Josh Payne,ENG,51.59%,Pcnt Legs Won,2018
152,Lee Budgen,ENG,51.57%,Pcnt Legs Won,2018
153,Bradley Brooks,ENG,51.35%,Pcnt Legs Won,2018
154,Lewis Pride,ENG,51.3%,Pcnt Legs Won,2018
155,Kevin Edwards,ENG,51.25%,Pcnt Legs Won,2018
156,Josh McCarthy,ENG,51.25%,Pcnt Legs Won,2018
157,Ryan Searle,ENG,51.22%,Pcnt Legs Won,2018
158,Jeffrey de Graaf,SWE,51.22%,Pcnt Legs Won,2018
159,Evander Stevenson,SCO,51.13%,Pcnt Legs Won,2018
160,John Bowles,ENG,51.1%,Pcnt Legs Won,2018
161,Arjan Konterman,NED,51.05%,Pcnt Legs Won,2018
162,Raymond van Barneveld,NED,51%,Pcnt Legs Won,2018
163,Simon Whitlock,AUS,50.95%,Pcnt Legs Won,2018
164,Martin Atkins (Wigan),ENG,50.92%,Pcnt Legs Won,2018
165,Vincent van der Voort,NED,50.83%,Pcnt Legs Won,2018
166,Jamie Lewis,WAL,50.74%,Pcnt Legs Won,2018
167,Stephen Burton,ENG,50.69%,Pcnt Legs Won,2018
168,Melvin de Fijter,NED,50.58%,Pcnt Legs Won,2018
169,Chas Barstow,ENG,50.57%,Pcnt Legs Won,2018
170,Terry Jenkins,ENG,50.52%,Pcnt Legs Won,2018
171,Lee Evans,ENG,50.52%,Pcnt Legs Won,2018
172,Dean Finn,IRL,50.5%,Pcnt Legs Won,2018
173,Mark Frost,ENG,50.3%,Pcnt Legs Won,2018
174,Christoff van der Wal,,50.21%,Pcnt Legs Won,2018
175,Mark Webster,WAL,50.13%,Pcnt Legs Won,2018
176,Kim Huybrechts,BEL,50.1%,Pcnt Legs Won,2018
177,Ross Smith,ENG,50.06%,Pcnt Legs Won,2018
178,Robert Owen,WAL,49.94%,Pcnt Legs Won,2018
179,Cristo Reyes,ESP,49.79%,Pcnt Legs Won,2018
180,Ritchie Edhouse,ENG,49.73%,Pcnt Legs Won,2018
181,Adam Hunt,ENG,49.7%,Pcnt Legs Won,2018
182,Alan Tabern,ENG,49.7%,Pcnt Legs Won,2018
183,Darren Johnson,ENG,49.7%,Pcnt Legs Won,2018
184,Matt Padgett,ENG,49.6%,Pcnt Legs Won,2018
185,Dawson Murschell,CAN,49.58%,Pcnt Legs Won,2018
186,Madars Razma,LTV,49.54%,Pcnt Legs Won,2018
187,Phill Borthwick,ENG,49.39%,Pcnt Legs Won,2018
188,Toni Alcinas,ESP,49.3%,Pcnt Legs Won,2018
189,Ricky Williams,,49.25%,Pcnt Legs Won,2018
190,Ryan Palmer,ENG,49%,Pcnt Legs Won,2018
191,James Richardson,ENG,48.93%,Pcnt Legs Won,2018
192,Andrew Gilding,ENG,48.88%,Pcnt Legs Won,2018
193,Simon Preston,ENG,48.83%,Pcnt Legs Won,2018
194,Zoran Lerchbacher,AUT,48.77%,Pcnt Legs Won,2018
195,Paul Rowley,ENG,48.67%,Pcnt Legs Won,2018
196,Dennis Smith,ENG,48.66%,Pcnt Legs Won,2018
197,Jim Walker,SCO,48.65%,Pcnt Legs Won,2018
198,Kirk Shepherd,ENG,48.6%,Pcnt Legs Won,2018
199,Wes Newton,ENG,48.57%,Pcnt Legs Won,2018
200,Luke Woodhouse,ENG,48.56%,Pcnt Legs Won,2018
201,Dave Ladley,ENG,48.46%,Pcnt Legs Won,2018
202,Jelle Klaasen,NED,48.29%,Pcnt Legs Won,2018
203,Davy Van Baelen,BEL,48.24%,Pcnt Legs Won,2018
204,Justin Pipe,ENG,48.23%,Pcnt Legs Won,2018
205,Diogo Portela,BRA,48.16%,Pcnt Legs Won,2018
206,Robert Marijanović,GER,47.92%,Pcnt Legs Won,2018
207,Jason Cullen,IRL,47.84%,Pcnt Legs Won,2018
208,Dan Read,ENG,47.83%,Pcnt Legs Won,2018
209,René Eidams,GER,47.77%,Pcnt Legs Won,2018
210,Curtis Hammond,ENG,47.7%,Pcnt Legs Won,2018
211,George Killington,ENG,47.53%,Pcnt Legs Won,2018
212,John Davey,WAL,47.45%,Pcnt Legs Won,2018
213,Daniel Ayres,ENG,47.35%,Pcnt Legs Won,2018
214,Paul Holloway,ENG,47.32%,Pcnt Legs Won,2018
215,Maik Langendorf,GER,47.17%,Pcnt Legs Won,2018
216,Brett Claydon,ENG,47.14%,Pcnt Legs Won,2018
217,Christian Kist,NED,47.09%,Pcnt Legs Won,2018
218,Paul Phillips,ENG,47.06%,Pcnt Legs Won,2018
219,Ian Withers,ENG,46.89%,Pcnt Legs Won,2018
220,Peter Hudson,ENG,46.79%,Pcnt Legs Won,2018
221,Scott Taylor,ENG,46.75%,Pcnt Legs Won,2018
222,Simon Tate,ENG,46.6%,Pcnt Legs Won,2018
223,Ben Burton,,46.58%,Pcnt Legs Won,2018
224,Rees Hall,ENG,46.47%,Pcnt Legs Won,2018
225,Jonathan Hewitt,,46.45%,Pcnt Legs Won,2018
226,John Part,CAN,46.35%,Pcnt Legs Won,2018
227,Tytus Kanik,POL,46.19%,Pcnt Legs Won,2018
228,Kevin Painter,ENG,46.14%,Pcnt Legs Won,2018
229,Ronny Huybrechts,BEL,46.12%,Pcnt Legs Won,2018
230,Arron Monk,ENG,46.06%,Pcnt Legs Won,2018
231,Stephen Gallimore,ENG,45.85%,Pcnt Legs Won,2018
232,Dirk van Duijvenbode,NED,45.76%,Pcnt Legs Won,2018
233,Peter Jacques,ENG,45.65%,Pcnt Legs Won,2018
234,Jack Dickinson,ENG,45.41%,Pcnt Legs Won,2018
235,Paul McCrevey,,45.27%,Pcnt Legs Won,2018
236,Jason Marriott,ENG,45.21%,Pcnt Legs Won,2018
237,Vincent Kamphuis,NED,45.15%,Pcnt Legs Won,2018
238,Owen Maiden,ENG,45.05%,Pcnt Legs Won,2018
239,Alan Norris,ENG,44.95%,Pcnt Legs Won,2018
240,Chris Quantock,ENG,44.73%,Pcnt Legs Won,2018
241,Benito van de Pas,NED,44.6%,Pcnt Legs Won,2018
242,Mario Robbe,NED,44.47%,Pcnt Legs Won,2018
243,Jamie Caven,ENG,44.44%,Pcnt Legs Won,2018
244,Ian Jones,ENG,44.31%,Pcnt Legs Won,2018
245,John Brown,ENG,44.21%,Pcnt Legs Won,2018
246,Mark Wilson,ENG,44.16%,Pcnt Legs Won,2018
247,Joe Murnan,ENG,44.06%,Pcnt Legs Won,2018
248,Mark Dudbridge,ENG,43.72%,Pcnt Legs Won,2018
249,Jim Moston,ENG,43.69%,Pcnt Legs Won,2018
250,John Goldie,,43.58%,Pcnt Legs Won,2018
251,Jack Main,ENG,43.56%,Pcnt Legs Won,2018
252,Colin Osborne,ENG,43.56%,Pcnt Legs Won,2018
253,Devon Petersen,RSA,43.52%,Pcnt Legs Won,2018
254,Ronnie Baxter,ENG,43.33%,Pcnt Legs Won,2018
255,Sven Groen,NED,43.27%,Pcnt Legs Won,2018
256,Ryan Harrington,ENG,42.96%,Pcnt Legs Won,2018
257,Aden Kirk,ENG,42.69%,Pcnt Legs Won,2018
258,Ian Lever,ENG,42.68%,Pcnt Legs Won,2018
259,Kevin Burness,NIR,42.4%,Pcnt Legs Won,2018
260,Tony Newell,ENG,42.36%,Pcnt Legs Won,2018
261,Lee Bryant,ENG,42.34%,Pcnt Legs Won,2018
262,José Justicia,ESP,42.25%,Pcnt Legs Won,2018
263,Prakash Jiwa,IND,42.18%,Pcnt Legs Won,2018
264,Craig Quinn,SCO,41.97%,Pcnt Legs Won,2018
265,Kelvin Self,ENG,41.73%,Pcnt Legs Won,2018
266,Robbie Green,ENG,41.62%,Pcnt Legs Won,2018
267,Nathan Treadgold,WAL,41.39%,Pcnt Legs Won,2018
268,Gary Eastwood,ENG,41.14%,Pcnt Legs Won,2018
269,Steve Hine,ENG,40.49%,Pcnt Legs Won,2018
270,Colin Littlecott,ENG,40.43%,Pcnt Legs Won,2018
271,Jamie Bain,SCO,39.92%,Pcnt Legs Won,2018
272,Mick McGowan,,39.08%,Pcnt Legs Won,2018
273,Robert Adnams,ENG,38.2%,Pcnt Legs Won,2018
274,Eddie Dootson,,36.85%,Pcnt Legs Won,2018
275,Ross Twell,ENG,35.67%,Pcnt Legs Won,2018
276,Terry Temple,ENG,35.43%,Pcnt Legs Won,2018
277,Scott Darbyshire,ENG,34.69%,Pcnt Legs Won,2018
278,Ronnie Roberts,,33.92%,Pcnt Legs Won,2018
279,Jim Brown,,29.89%,Pcnt Legs Won,2018
251,Jack Main,ENG,43.56%,Pcnt Legs Won,2018
252,Colin Osborne,ENG,43.56%,Pcnt Legs Won,2018
253,Devon Petersen,RSA,43.52%,Pcnt Legs Won,2018
254,Ronnie Baxter,ENG,43.33%,Pcnt Legs Won,2018
255,Sven Groen,NED,43.27%,Pcnt Legs Won,2018
256,Ryan Harrington,ENG,42.96%,Pcnt Legs Won,2018
257,Aden Kirk,ENG,42.69%,Pcnt Legs Won,2018
258,Ian Lever,ENG,42.68%,Pcnt Legs Won,2018
259,Kevin Burness,NIR,42.4%,Pcnt Legs Won,2018
260,Tony Newell,ENG,42.36%,Pcnt Legs Won,2018
261,Lee Bryant,ENG,42.34%,Pcnt Legs Won,2018
262,José Justicia,ESP,42.25%,Pcnt Legs Won,2018
263,Prakash Jiwa,IND,42.18%,Pcnt Legs Won,2018
264,Craig Quinn,SCO,41.97%,Pcnt Legs Won,2018
265,Kelvin Self,ENG,41.73%,Pcnt Legs Won,2018
266,Robbie Green,ENG,41.62%,Pcnt Legs Won,2018
267,Nathan Treadgold,WAL,41.39%,Pcnt Legs Won,2018
268,Gary Eastwood,ENG,41.14%,Pcnt Legs Won,2018
269,Steve Hine,ENG,40.49%,Pcnt Legs Won,2018
270,Colin Littlecott,ENG,40.43%,Pcnt Legs Won,2018
271,Jamie Bain,SCO,39.92%,Pcnt Legs Won,2018
272,Mick McGowan,,39.08%,Pcnt Legs Won,2018
273,Robert Adnams,ENG,38.2%,Pcnt Legs Won,2018
274,Eddie Dootson,,36.85%,Pcnt Legs Won,2018
275,Ross Twell,ENG,35.67%,Pcnt Legs Won,2018
276,Terry Temple,ENG,35.43%,Pcnt Legs Won,2018
277,Scott Darbyshire,ENG,34.69%,Pcnt Legs Won,2018
278,Ronnie Roberts,,33.92%,Pcnt Legs Won,2018
279,Jim Brown,,29.89%,Pcnt Legs Won,2018
1,Leighton Bennett,ENG,78.71%,Pcnt Legs Won,2019
2,Damon Heta,AUS,68.6%,Pcnt Legs Won,2019
3,Raymond Smith,AUS,68.56%,Pcnt Legs Won,2019
4,Paul Lim,SNG,67.85%,Pcnt Legs Won,2019
5,Lourence Ilagan,PHI,66.76%,Pcnt Legs Won,2019
6,Harry Gregory,ENG,66.5%,Pcnt Legs Won,2019
7,Marko Puls,GER,65.85%,Pcnt Legs Won,2019
8,Gordon Mathers,AUS,65.66%,Pcnt Legs Won,2019
9,Haupai Puha,NZL,65.49%,Pcnt Legs Won,2019
10,Koha Kokiri,AUS,65.44%,Pcnt Legs Won,2019
11,Steve Fitzpatrick,AUS,65.31%,Pcnt Legs Won,2019
12,Paolo Nebrida,PHI,65%,Pcnt Legs Won,2019
13,James Bailey,AUS,64.16%,Pcnt Legs Won,2019
14,Keane Barry,IRL,63.91%,Pcnt Legs Won,2019
15,Mick Lacey,AUS,63.91%,Pcnt Legs Won,2019
16,Noel Malicdem,PHI,63.86%,Pcnt Legs Won,2019
17,Nathan Care,ENG,63.76%,Pcnt Legs Won,2019
18,David Platt,AUS,63.45%,Pcnt Legs Won,2019
19,Haruki Muramatsu,JPN,63.4%,Pcnt Legs Won,2019
20,Ben Robb,NZL,63.35%,Pcnt Legs Won,2019
21,Luke Littler,ENG,63.26%,Pcnt Legs Won,2019
22,Leung Kai Fan,HKG,63.11%,Pcnt Legs Won,2019
23,Rob Modra,AUS,63.09%,Pcnt Legs Won,2019
24,Brody Klinge,AUS,62.76%,Pcnt Legs Won,2019
25,Henry Coates,ENG,62.74%,Pcnt Legs Won,2019
26,Adam Gawlas,CZE,62.5%,Pcnt Legs Won,2019
27,Royden Lam,HKG,62.39%,Pcnt Legs Won,2019
28,Seigo Asada,JPN,62.39%,Pcnt Legs Won,2019
29,Jesús Noguera,ESP,62.25%,Pcnt Legs Won,2019
30,Ciarán Teehan,IRL,62.23%,Pcnt Legs Won,2019
31,Justin van Tergouw,NED,62.14%,Pcnt Legs Won,2019
32,Shane Tichowitsch,,62.07%,Pcnt Legs Won,2019
33,Kyle McKinstry,NIR,62.06%,Pcnt Legs Won,2019
34,Tim Pusey,AUS,61.89%,Pcnt Legs Won,2019
35,Matt Campbell,CAN,61.83%,Pcnt Legs Won,2019
36,James Beeton,ENG,61.82%,Pcnt Legs Won,2019
37,Bill Aitken,AUS,61.82%,Pcnt Legs Won,2019
38,Daniel Larsson,SWE,61.79%,Pcnt Legs Won,2019
39,Yuki Yamada,JPN,61.62%,Pcnt Legs Won,2019
