Rank,Player,Country,Stat,Stat Category,Year
41,Singapore,,46.15%,Pcnt Legs Won,2018
42,Ireland,,44.44%,Pcnt Legs Won,2018
43,Austria,,44.44%,Pcnt Legs Won,2018
44,Russia,,44.44%,Pcnt Legs Won,2018
45,Poland,,44.44%,Pcnt Legs Won,2018
46,Bruno Rangel,BRA,42.86%,Pcnt Legs Won,2018
47,Dave Chisnall,ENG,40.74%,Pcnt Legs Won,2018
48,William O'Connor,IRL,40%,Pcnt Legs Won,2018
49,Steve Lennon,IRL,40%,Pcnt Legs Won,2018
50,Gerwyn Price,WAL,38.46%,Pcnt Legs Won,2018
1,Netherlands,,90%,Pcnt Legs Won,2018
2,Finland,,83.33%,Pcnt Legs Won,2018
3,Canada,,83.33%,Pcnt Legs Won,2018
4,Brazil,,83.33%,Pcnt Legs Won,2018
5,Mensur Suljović,AUT,80%,Pcnt Legs Won,2018
6,Michael van Gerwen,NED,76.47%,Pcnt Legs Won,2018
7,Raymond van Barneveld,NED,71.43%,Pcnt Legs Won,2018
8,John Part,CAN,70%,Pcnt Legs Won,2018
9,Belgium,,69.23%,Pcnt Legs Won,2018
10,Jonny Clayton,WAL,66.67%,Pcnt Legs Won,2018
11,Daryl Gurney,NIR,66.67%,Pcnt Legs Won,2018
12,Germany,,64.29%,Pcnt Legs Won,2018
13,Australia,,64%,Pcnt Legs Won,2018
14,South Africa,,62.5%,Pcnt Legs Won,2018
15,Kim Huybrechts,BEL,60%,Pcnt Legs Won,2018
16,Krzysztof Ratajski,POL,60%,Pcnt Legs Won,2018
17,Boris Koltsov,RUS,60%,Pcnt Legs Won,2018
18,Dimitri Van den Bergh,BEL,59.26%,Pcnt Legs Won,2018
19,Peter Wright,SCO,58.97%,Pcnt Legs Won,2018
20,Kyle Anderson,AUS,58.33%,Pcnt Legs Won,2018
21,Rob Cross,ENG,57.69%,Pcnt Legs Won,2018
22,Paul Lim,SNG,56.25%,Pcnt Legs Won,2018
23,Scotland,,55.56%,Pcnt Legs Won,2018
24,Japan,,55.56%,Pcnt Legs Won,2018
25,Wales,,55.56%,Pcnt Legs Won,2018
26,England,,52.94%,Pcnt Legs Won,2018
27,Martin Schindler,GER,52.63%,Pcnt Legs Won,2018
28,Gary Anderson,SCO,51.22%,Pcnt Legs Won,2018
29,Toni Alcinas,ESP,50%,Pcnt Legs Won,2018
30,Karel Sedláček,CZE,50%,Pcnt Legs Won,2018
31,Warren Parry,NZL,50%,Pcnt Legs Won,2018
32,Kim Viljanen,FIN,50%,Pcnt Legs Won,2018
33,Dennis Nilsson,SWE,50%,Pcnt Legs Won,2018
34,Seigo Asada,JPN,50%,Pcnt Legs Won,2018
35,Tamas Alexits,,50%,Pcnt Legs Won,2018
36,Spain,,50%,Pcnt Legs Won,2018
37,Attapol Eupakaree,THA,50%,Pcnt Legs Won,2018
38,Switzerland,,50%,Pcnt Legs Won,2018
39,Simon Whitlock,AUS,48.72%,Pcnt Legs Won,2018
40,Northern Ireland,,46.67%,Pcnt Legs Won,2018
41,Singapore,,46.15%,Pcnt Legs Won,2018
42,Ireland,,44.44%,Pcnt Legs Won,2018
43,Austria,,44.44%,Pcnt Legs Won,2018
44,Russia,,44.44%,Pcnt Legs Won,2018
45,Poland,,44.44%,Pcnt Legs Won,2018
46,Bruno Rangel,BRA,42.86%,Pcnt Legs Won,2018
47,Dave Chisnall,ENG,40.74%,Pcnt Legs Won,2018
48,William O'Connor,IRL,40%,Pcnt Legs Won,2018
49,Steve Lennon,IRL,40%,Pcnt Legs Won,2018
50,Gerwyn Price,WAL,38.46%,Pcnt Legs Won,2018
1,Scotland,,100%,Pcnt Legs Won,2019
2,England,,83.33%,Pcnt Legs Won,2019
3,Belgium,,83.33%,Pcnt Legs Won,2019
4,Sweden,,83.33%,Pcnt Legs Won,2019
5,Germany,,83.33%,Pcnt Legs Won,2019
6,United States,,83.33%,Pcnt Legs Won,2019
7,Peter Wright,SCO,82.86%,Pcnt Legs Won,2019
8,Antony Lopez,,80%,Pcnt Legs Won,2019
9,Cody Harris,NZL,77.78%,Pcnt Legs Won,2019
10,New Zealand,,75%,Pcnt Legs Won,2019
11,Devon Petersen,RSA,73.33%,Pcnt Legs Won,2019
12,Ireland,,72.22%,Pcnt Legs Won,2019
13,Poland,,71.43%,Pcnt Legs Won,2019
14,Michael Smith,ENG,70%,Pcnt Legs Won,2019
15,Dimitri Van den Bergh,BEL,69.23%,Pcnt Legs Won,2019
16,William O'Connor,IRL,68.57%,Pcnt Legs Won,2019
17,Netherlands,,64.29%,Pcnt Legs Won,2019
18,Gary Anderson,SCO,62.96%,Pcnt Legs Won,2019
19,Mensur Suljović,AUT,62.5%,Pcnt Legs Won,2019
20,Darin Young,USA,62.5%,Pcnt Legs Won,2019
21,Singapore,,62.5%,Pcnt Legs Won,2019
22,Marko Kantele,FIN,60%,Pcnt Legs Won,2019
23,Martin Schindler,GER,60%,Pcnt Legs Won,2019
24,Michael van Gerwen,NED,56.25%,Pcnt Legs Won,2019
25,Dennis Nilsson,SWE,55.56%,Pcnt Legs Won,2019
26,Japan,,55.56%,Pcnt Legs Won,2019
27,Australia,,55.56%,Pcnt Legs Won,2019
28,Paul Lim,SNG,54.55%,Pcnt Legs Won,2019
29,Haruki Muramatsu,JPN,52.17%,Pcnt Legs Won,2019
30,Seigo Asada,JPN,52.17%,Pcnt Legs Won,2019
31,Kim Huybrechts,BEL,50%,Pcnt Legs Won,2019
32,Kyle Anderson,AUS,50%,Pcnt Legs Won,2019
33,Krzysztof Ratajski,POL,50%,Pcnt Legs Won,2019
34,Jermaine Wattimena,NED,50%,Pcnt Legs Won,2019
35,Jonny Clayton,WAL,50%,Pcnt Legs Won,2019
36,Stefano Tomassetti,ITA,50%,Pcnt Legs Won,2019
37,Aleksei Kadochnikov,,50%,Pcnt Legs Won,2019
38,Steve Lennon,IRL,48.78%,Pcnt Legs Won,2019
39,Jim Long,CAN,47.83%,Pcnt Legs Won,2019
40,South Africa,,46.67%,Pcnt Legs Won,2019
41,Canada,,46.15%,Pcnt Legs Won,2019
42,Zoran Lerchbacher,AUT,44.44%,Pcnt Legs Won,2019
43,Finland,,44.44%,Pcnt Legs Won,2019
44,Gibraltar,,44.44%,Pcnt Legs Won,2019
45,Northern Ireland,,44.44%,Pcnt Legs Won,2019
46,Dawson Murschell,CAN,43.48%,Pcnt Legs Won,2019
47,Austria,,41.67%,Pcnt Legs Won,2019
48,Simon Whitlock,AUS,41.67%,Pcnt Legs Won,2019
49,Brendan Dolan,NIR,40%,Pcnt Legs Won,2019
50,Daryl Gurney,NIR,40%,Pcnt Legs Won,2019
1,Scotland,,100%,Pcnt Legs Won,2019
2,England,,83.33%,Pcnt Legs Won,2019
3,Belgium,,83.33%,Pcnt Legs Won,2019
4,Sweden,,83.33%,Pcnt Legs Won,2019
5,Germany,,83.33%,Pcnt Legs Won,2019
6,United States,,83.33%,Pcnt Legs Won,2019
7,Peter Wright,SCO,82.86%,Pcnt Legs Won,2019
8,Antony Lopez,,80%,Pcnt Legs Won,2019
9,Cody Harris,NZL,77.78%,Pcnt Legs Won,2019
10,New Zealand,,75%,Pcnt Legs Won,2019
11,Devon Petersen,RSA,73.33%,Pcnt Legs Won,2019
12,Ireland,,72.22%,Pcnt Legs Won,2019
13,Poland,,71.43%,Pcnt Legs Won,2019
14,Michael Smith,ENG,70%,Pcnt Legs Won,2019
15,Dimitri Van den Bergh,BEL,69.23%,Pcnt Legs Won,2019
16,William O'Connor,IRL,68.57%,Pcnt Legs Won,2019
17,Netherlands,,64.29%,Pcnt Legs Won,2019
18,Gary Anderson,SCO,62.96%,Pcnt Legs Won,2019
19,Mensur Suljović,AUT,62.5%,Pcnt Legs Won,2019
20,Darin Young,USA,62.5%,Pcnt Legs Won,2019
21,Singapore,,62.5%,Pcnt Legs Won,2019
22,Marko Kantele,FIN,60%,Pcnt Legs Won,2019
23,Martin Schindler,GER,60%,Pcnt Legs Won,2019
24,Michael van Gerwen,NED,56.25%,Pcnt Legs Won,2019
25,Dennis Nilsson,SWE,55.56%,Pcnt Legs Won,2019
26,Japan,,55.56%,Pcnt Legs Won,2019
27,Australia,,55.56%,Pcnt Legs Won,2019
28,Paul Lim,SNG,54.55%,Pcnt Legs Won,2019
29,Haruki Muramatsu,JPN,52.17%,Pcnt Legs Won,2019
30,Seigo Asada,JPN,52.17%,Pcnt Legs Won,2019
31,Kim Huybrechts,BEL,50%,Pcnt Legs Won,2019
32,Kyle Anderson,AUS,50%,Pcnt Legs Won,2019
33,Krzysztof Ratajski,POL,50%,Pcnt Legs Won,2019
34,Jermaine Wattimena,NED,50%,Pcnt Legs Won,2019
35,Jonny Clayton,WAL,50%,Pcnt Legs Won,2019
36,Stefano Tomassetti,ITA,50%,Pcnt Legs Won,2019
37,Aleksei Kadochnikov,,50%,Pcnt Legs Won,2019
38,Steve Lennon,IRL,48.78%,Pcnt Legs Won,2019
39,Jim Long,CAN,47.83%,Pcnt Legs Won,2019
40,South Africa,,46.67%,Pcnt Legs Won,2019
41,Canada,,46.15%,Pcnt Legs Won,2019
42,Zoran Lerchbacher,AUT,44.44%,Pcnt Legs Won,2019
43,Finland,,44.44%,Pcnt Legs Won,2019
44,Gibraltar,,44.44%,Pcnt Legs Won,2019
45,Northern Ireland,,44.44%,Pcnt Legs Won,2019
46,Dawson Murschell,CAN,43.48%,Pcnt Legs Won,2019
47,Austria,,41.67%,Pcnt Legs Won,2019
48,Simon Whitlock,AUS,41.67%,Pcnt Legs Won,2019
49,Brendan Dolan,NIR,40%,Pcnt Legs Won,2019
50,Daryl Gurney,NIR,40%,Pcnt Legs Won,2019
1,Karel Sedláček,CZE,100%,Pcnt Legs Won,2020
2,Poland,,100%,Pcnt Legs Won,2020
3,Greece,,100%,Pcnt Legs Won,2020
4,Portugal,,100%,Pcnt Legs Won,2020
5,Krzysztof Ratajski,POL,77.78%,Pcnt Legs Won,2020
6,Leung Kai Fan,HKG,75%,Pcnt Legs Won,2020
7,Germany,,75%,Pcnt Legs Won,2020
8,Daniele Petri,ITA,75%,Pcnt Legs Won,2020
9,Haupai Puha,NZL,75%,Pcnt Legs Won,2020
10,Kim Huybrechts,BEL,73.91%,Pcnt Legs Won,2020
11,Gerwyn Price,WAL,73.53%,Pcnt Legs Won,2020
12,Wales,,72.73%,Pcnt Legs Won,2020
13,New Zealand,,71.43%,Pcnt Legs Won,2020
14,Jeff Smith,CAN,69.23%,Pcnt Legs Won,2020
15,Michael van Gerwen,NED,66.67%,Pcnt Legs Won,2020
16,Michael Smith,ENG,66.67%,Pcnt Legs Won,2020
17,William O'Connor,IRL,66.67%,Pcnt Legs Won,2020
18,Per Laursen,DEN,66.67%,Pcnt Legs Won,2020
19,Gabriel Clemens,GER,65.22%,Pcnt Legs Won,2020
20,Damon Heta,AUS,64.71%,Pcnt Legs Won,2020
21,Simon Whitlock,AUS,64.71%,Pcnt Legs Won,2020
22,Mensur Suljović,AUT,63.16%,Pcnt Legs Won,2020
23,Lithuania,,62.5%,Pcnt Legs Won,2020
24,Rowby-John Rodriguez,AUT,61.11%,Pcnt Legs Won,2020
25,Danny Noppert,NED,60%,Pcnt Legs Won,2020
26,Belgium,,60%,Pcnt Legs Won,2020
27,Matt Campbell,CAN,58.82%,Pcnt Legs Won,2020
28,Jonny Clayton,WAL,58.82%,Pcnt Legs Won,2020
29,Rob Cross,ENG,58.33%,Pcnt Legs Won,2020
30,Austria,,57.14%,Pcnt Legs Won,2020
31,Latvia,,55.56%,Pcnt Legs Won,2020
32,Spain,,55.56%,Pcnt Legs Won,2020
33,Max Hopp,GER,55%,Pcnt Legs Won,2020
34,England,,54.55%,Pcnt Legs Won,2020
35,Netherlands,,53.85%,Pcnt Legs Won,2020
36,Canada,,53.85%,Pcnt Legs Won,2020
37,Australia,,53.85%,Pcnt Legs Won,2020
38,Lourence Ilagan,PHI,50%,Pcnt Legs Won,2020
39,Noel Malicdem,PHI,50%,Pcnt Legs Won,2020
